Date,Product_ID,Product_Name,Category,Price,Quantity,Total_Revenue
2024-01-01,P001,Coffee Maker,Kitchen Appliances,89.99,12,1079.88
2024-01-01,P002,Blender,Kitchen Appliances,59.99,8,479.92
2024-01-01,P003,Toaster,Kitchen Appliances,39.99,15,599.85
2024-01-01,P004,Laptop,Electronics,999.99,5,4999.95
2024-01-01,P005,Smartphone,Electronics,699.99,10,6999.90
2024-01-02,P001,Coffee Maker,Kitchen Appliances,89.99,8,719.92
2024-01-02,P002,Blender,Kitchen Appliances,59.99,5,299.95
2024-01-02,P003,Toaster,Kitchen Appliances,39.99,10,399.90
2024-01-02,P006,Headphones,Electronics,149.99,18,2699.82
2024-01-03,P004,Laptop,Electronics,999.99,3,2999.97
2024-01-03,P005,Smartphone,Electronics,699.99,7,4899.93
2024-01-03,P007,Desk Chair,Furniture,199.99,4,799.96
2024-01-04,P008,Office Desk,Furniture,299.99,3,899.97
2024-01-04,P009,Bookshelf,Furniture,149.99,6,899.94
2024-01-04,P010,Table Lamp,Home Decor,49.99,12,599.88
2024-01-05,P011,Rug,Home Decor,129.99,5,649.95
2024-01-05,P012,Curtains,Home Decor,79.99,8,639.92
2024-01-05,P013,Wall Art,Home Decor,89.99,7,629.93
2024-01-06,P014,Bath Towels,Home Essentials,29.99,20,599.80
2024-01-06,P015,Bed Sheets,Home Essentials,59.99,15,899.85
2024-01-07,P016,Pillow,Home Essentials,19.99,25,499.75
2024-01-07,P017,Blanket,Home Essentials,49.99,12,599.88
2024-01-08,P018,Cookware Set,Kitchen Appliances,199.99,6,1199.94
2024-01-08,P019,Dinnerware Set,Kitchen Appliances,89.99,10,899.90
2024-01-09,P020,Utensil Set,Kitchen Appliances,39.99,18,719.82
2024-01-09,P021,Water Bottle,Kitchen Accessories,24.99,30,749.70
2024-01-10,P022,Travel Mug,Kitchen Accessories,19.99,25,499.75
2024-01-10,P023,Cutting Board,Kitchen Accessories,34.99,15,524.85
2024-01-11,P024,Knife Set,Kitchen Accessories,79.99,8,639.92
2024-01-11,P025,Food Storage,Kitchen Accessories,29.99,22,659.78
2024-01-12,P026,Backpack,Fashion,69.99,14,979.86
2024-01-12,P027,Handbag,Fashion,129.99,7,909.93
2024-01-13,P028,Wallet,Fashion,49.99,18,899.82
2024-01-13,P029,Watch,Fashion,199.99,5,999.95
2024-01-14,P030,Sunglasses,Fashion,89.99,12,1079.88
2024-01-14,P031,Fitness Tracker,Electronics,129.99,9,1169.91
2024-01-15,P032,Wireless Earbuds,Electronics,79.99,20,1599.80
2024-01-15,P033,Portable Charger,Electronics,39.99,30,1199.70
2024-01-16,P005,Smartphone,Electronics,699.99,6,4199.94
2024-01-16,P006,Headphones,Electronics,149.99,11,1649.89
2024-01-17,P004,Laptop,Electronics,999.99,4,3999.96
2024-01-17,P034,Tablet,Electronics,549.99,7,3849.93
2024-01-18,P035,Smart Watch,Electronics,249.99,8,1999.92
2024-01-18,P036,Game Console,Electronics,399.99,5,1999.95
2024-01-19,P037,Video Game,Entertainment,59.99,15,899.85
2024-01-19,P038,Board Game,Entertainment,39.99,12,479.88
2024-01-20,P039,Yoga Mat,Fitness,29.99,18,539.82
2024-01-20,P040,Dumbbells,Fitness,49.99,10,499.90
2024-01-21,P041,Resistance Bands,Fitness,19.99,25,499.75
2024-01-21,P042,Running Shoes,Footwear,89.99,8,719.92
2024-02-01,P001,Coffee Maker,Kitchen Appliances,89.99,10,899.90
2024-02-01,P002,Blender,Kitchen Appliances,59.99,12,719.88
2024-02-02,P003,Toaster,Kitchen Appliances,39.99,17,679.83
2024-02-02,P004,Laptop,Electronics,999.99,6,5999.94
2024-02-03,P005,Smartphone,Electronics,699.99,9,6299.91
2024-02-03,P006,Headphones,Electronics,149.99,14,2099.86
2024-02-04,P007,Desk Chair,Furniture,199.99,5,999.95
2024-02-04,P008,Office Desk,Furniture,299.99,4,1199.96
2024-02-05,P009,Bookshelf,Furniture,149.99,7,1049.93
2024-02-05,P010,Table Lamp,Home Decor,49.99,15,749.85
2024-02-06,P011,Rug,Home Decor,129.99,6,779.94
2024-02-06,P012,Curtains,Home Decor,79.99,10,799.90
2024-02-07,P013,Wall Art,Home Decor,89.99,8,719.92
2024-02-07,P014,Bath Towels,Home Essentials,29.99,22,659.78
2024-02-08,P015,Bed Sheets,Home Essentials,59.99,18,1079.82
2024-02-08,P016,Pillow,Home Essentials,19.99,30,599.70
2024-02-09,P017,Blanket,Home Essentials,49.99,14,699.86
2024-02-09,P018,Cookware Set,Kitchen Appliances,199.99,5,999.95
2024-02-10,P019,Dinnerware Set,Kitchen Appliances,89.99,9,809.91
2024-02-10,P020,Utensil Set,Kitchen Appliances,39.99,20,799.80
2024-02-11,P021,Water Bottle,Kitchen Accessories,24.99,25,624.75
2024-02-11,P022,Travel Mug,Kitchen Accessories,19.99,30,599.70
2024-02-12,P023,Cutting Board,Kitchen Accessories,34.99,12,419.88
2024-02-12,P024,Knife Set,Kitchen Accessories,79.99,7,559.93
2024-02-13,P025,Food Storage,Kitchen Accessories,29.99,18,539.82
2024-02-13,P026,Backpack,Fashion,69.99,10,699.90
2024-02-14,P027,Handbag,Fashion,129.99,15,1949.85
2024-02-14,P029,Watch,Fashion,199.99,8,1599.92
2024-02-15,P028,Wallet,Fashion,49.99,22,1099.78
2024-02-15,P030,Sunglasses,Fashion,89.99,9,809.91
2024-02-16,P031,Fitness Tracker,Electronics,129.99,12,1559.88
2024-02-16,P032,Wireless Earbuds,Electronics,79.99,18,1439.82
2024-02-17,P033,Portable Charger,Electronics,39.99,25,999.75
2024-02-17,P034,Tablet,Electronics,549.99,5,2749.95
2024-02-18,P035,Smart Watch,Electronics,249.99,7,1749.93
2024-02-18,P036,Game Console,Electronics,399.99,4,1599.96
2024-02-19,P037,Video Game,Entertainment,59.99,18,1079.82
2024-02-19,P038,Board Game,Entertainment,39.99,15,599.85
2024-02-20,P039,Yoga Mat,Fitness,29.99,20,599.80
2024-02-20,P040,Dumbbells,Fitness,49.99,12,599.88
2024-02-21,P041,Resistance Bands,Fitness,19.99,30,599.70
2024-02-21,P042,Running Shoes,Footwear,89.99,9,809.91
2024-03-01,P001,Coffee Maker,Kitchen Appliances,89.99,9,809.91
2024-03-01,P002,Blender,Kitchen Appliances,59.99,10,599.90
2024-03-02,P003,Toaster,Kitchen Appliances,39.99,14,559.86
2024-03-02,P004,Laptop,Electronics,999.99,5,4999.95
2024-03-03,P005,Smartphone,Electronics,699.99,8,5599.92
2024-03-03,P006,Headphones,Electronics,149.99,15,2249.85
2024-03-04,P007,Desk Chair,Furniture,199.99,6,1199.94
2024-03-04,P008,Office Desk,Furniture,299.99,4,1199.96
2024-03-05,P009,Bookshelf,Furniture,149.99,9,1349.91
2024-03-05,P010,Table Lamp,Home Decor,49.99,16,799.84
2024-03-06,P011,Rug,Home Decor,129.99,5,649.95
2024-03-06,P012,Curtains,Home Decor,79.99,12,959.88
2024-03-07,P013,Wall Art,Home Decor,89.99,7,629.93
2024-03-07,P014,Bath Towels,Home Essentials,29.99,24,719.76
2024-03-08,P015,Bed Sheets,Home Essentials,59.99,14,839.86
2024-03-08,P016,Pillow,Home Essentials,19.99,32,639.68
2024-03-09,P017,Blanket,Home Essentials,49.99,11,549.89
2024-03-09,P018,Cookware Set,Kitchen Appliances,199.99,4,799.96
2024-03-10,P019,Dinnerware Set,Kitchen Appliances,89.99,8,719.92
2024-03-10,P020,Utensil Set,Kitchen Appliances,39.99,22,879.78
2024-03-11,P021,Water Bottle,Kitchen Accessories,24.99,28,699.72
2024-03-11,P022,Travel Mug,Kitchen Accessories,19.99,35,699.65
2024-03-12,P023,Cutting Board,Kitchen Accessories,34.99,14,489.86
2024-03-12,P024,Knife Set,Kitchen Accessories,79.99,6,479.94
2024-03-13,P025,Food Storage,Kitchen Accessories,29.99,20,599.80
2024-03-13,P026,Backpack,Fashion,69.99,8,559.92
